check_time,AREA_CD,AREA_NM,latitude,longitude,risk_score,risk_level,congest_lvl,accident_cnt,accident_info
2026-06-03 18:30:35,POI116,익선동,37.572134,126.988115,25,여유,여유,0,
2026-06-03 18:30:35,POI117,신정네거리역,37.52007871,126.8537575,25,여유,여유,0,
2026-06-03 18:30:35,POI118,잠실새내역,37.511061,127.083407,50,보통,보통,0,
2026-06-03 18:30:35,POI119,잠실역,37.51142084,127.0980453,100,붐빔,붐빔,0,
2026-06-03 18:30:35,POI120,잠실롯데타워·석촌호수,37.51142084,127.0980453,100,붐빔,붐빔,0,
2026-06-03 18:30:35,POI121,송리단길·호수단길,37.50699491,127.1016326,75,약간 붐빔,약간 붐빔,0,
2026-06-03 18:30:35,POI122,신촌 스타광장,37.556668,126.937122,50,보통,보통,0,
2026-06-03 18:30:35,POI123,보라매공원,37.494927,126.9188806,50,보통,보통,0,
2026-06-03 18:30:35,POI124,서대문독립공원,37.57518,126.957486,25,여유,여유,0,
2026-06-03 18:30:35,POI125,안양천,37.5171996,126.8779641,50,보통,보통,0,
2026-06-03 18:30:35,POI126,여의서로,37.53257552,126.9135015,25,여유,여유,0,
2026-06-03 18:30:35,POI127,올림픽공원,37.5184393,127.1161715,25,여유,여유,0,
2026-06-03 18:30:35,POI128,홍제폭포,,,25,여유,여유,0,
2026-06-03 18:30:35,POI129,송현녹지광장,37.578308,126.987502,25,여유,여유,0,
2026-06-03 18:30:35,POI130,시의회 앞,37.564181,126.977563,25,여유,여유,0,
2026-06-03 18:30:35,POI131,숭례문,37.56074513,126.9772648,25,여유,여유,0,
